,InstrumentTicker,InstrumentLongName,bicsSector,bicsIndustry,bicsSubIndustry,Momentum,Size,Quality,Value,Volatility,Yield
174,FMC,F M C CORP COM NEW,Materials,Chemicals,Agricultural Chemicals,0.4145066506349201,-0.61284172548638,0.27982971658614264,-1.1741125704423359,1.2555366754957862,-0.3352124067674713
175,ITW,ILLINOIS TOOL WKS IN COM,Industrials,Machinery,Industrial Machinery,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
177,MKC,MCCORMICK & CO INC COM NON VTG,Consumer Staples,Consumer Products,Packaged Food,0.9844404614552431,0.016617393667318167,-0.08155707042351713,-0.058941329890172645,-0.1914855008032597,-0.4747359931305119
178,FAST,FASTENAL CO COM,Industrials,Industrial Services,Industrial Distribution & Rental,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
184,JBHT,HUNT J B TRANS SVCS COM,Industrials,Transportation & Logistics,Trucking,-0.9859596508728825,-0.08811137163651028,-0.4685695417152444,-0.41167589770610863,-0.30128382759955125,0.27545784771012577
185,NRG,NRG ENERGY INC COM NEW,Utilities,Utilities,Power Generation,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
190,AOS,SMITH A O COM,Industrials,Electrical Equipment,Comml & Res Bldg Equip & Sys,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
191,XYL,XYLEM INC,Industrials,Machinery,Flow Control Equipment,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
193,KLAC,KLA-TENCOR CORP COM,Technology,Semiconductors,Semiconductor Mfg,0.5148809614539442,-0.2861180569927395,-0.8741443061843569,0.15508198388506414,-0.3457493920517338,0.30869917212726217
194,CTAS,CINTAS CORP COM,Consumer Discretionary,Commercial Services,Other Commercial Services,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
196,MCO,MOODYS CORP COM,Technology,Technology Services,Information Services,0.08253758951400843,0.4222885596472034,3.0301183132098006,1.5217930604559757,0.7764116688330087,0.03518131779048055
198,ZTS,ZOETIS INC,Health Care,Biotech & Pharma,Specialty Pharma,0.009033251098956271,-0.024734522927831296,0.00866102073089197,0.01946702107367226,-0.024934708833824957,-0.01518232801483376
